Id,Hero,Power
940,Bullseye,Marksmanship
941,Bullseye,Weapons Master
942,Bumblebee,Stealth
943,Bumblebee,Flight
944,Bumblebee,Intelligence
945,Bumblebee,Super Strength
946,Bumblebee,Energy Blasts
947,Bumblebee,Size Changing
948,Bumblebee,Stamina
949,Bumblebee,Electrokinesis
950,Bumblebee,Enhanced Sight
951,Bumblebee,Power Suit
952,Bumbleboy,Flight
953,Bumbleboy,Telepathy
954,Bushido,Agility
955,Bushido,Weapons Master
956,Cable,Agility
957,Cable,Accelerated Healing
958,Cable,Durability
959,Cable,Stealth
960,Cable,Flight
961,Cable,Marksmanship
962,Cable,Weapons Master
963,Cable,Intelligence
964,Cable,Super Strength
965,Cable,Telepathy
966,Cable,Energy Blasts
967,Cable,Stamina
968,Cable,Dexterity
969,Cable,Super Speed
970,Cable,Teleportation
971,Cable,Telekinesis
972,Cable,Astral Projection
973,Cable,Force Fields
974,Cable,Psionic Powers
975,Cable,Technopath/Cyberpath
976,Cable,Precognition
977,Cable,Mind Control
978,Cable,Molecular Manipulation
979,Cable,Mind Blast
980,Cable,Time Travel
981,Cable,Illusions
982,Cable,Cloaking
983,Cable,Telepathy Resistance
984,Cable,Mind Control Resistance
985,Cable,Vision - Thermal
986,Callisto,Agility
987,Callisto,Accelerated Healing
988,Callisto,Super Strength
989,Callisto,Enhanced Senses
990,Callisto,Reflexes
991,Callisto,Wallcrawling
992,Callisto,Vision - Night
993,Cameron Hicks,Marksmanship
994,Cameron Hicks,Hyperkinesis
995,Cameron Hicks,Spatial Awareness
996,Cannonball,Energy Absorption
997,Cannonball,Flight
998,Cannonball,Energy Armor
999,Cannonball,Super Speed
1000,Cannonball,Immortality
1001,Captain America,Agility
1002,Captain America,Durability
1003,Captain America,Stealth
1004,Captain America,Marksmanship
1005,Captain America,Weapons Master
1006,Captain America,Longevity
1007,Captain America,Stamina
1008,Captain America,Weapon-based Powers
1009,Captain America,Peak Human Condition
1010,Captain America,Reflexes
1011,Captain Atom,Agility
1012,Captain Atom,Accelerated Healing
1013,Captain Atom,Energy Absorption
1014,Captain Atom,Flight
1015,Captain Atom,Weapons Master
1016,Captain Atom,Super Strength
1017,Captain Atom,Energy Blasts
1018,Captain Atom,Super Speed
1019,Captain Atom,Enhanced Senses
1020,Captain Atom,Immortality
1021,Captain Atom,Phasing
1022,Captain Atom,Invulnerability
1023,Captain Atom,Force Fields
1024,Captain Atom,Self-Sustenance
1025,Captain Atom,Radiation Control
1026,Captain Atom,Technopath/Cyberpath
1027,Captain Atom,Natural Armor
1028,Captain Atom,Enhanced Sight
1029,Captain Atom,Molecular Manipulation
1030,Captain Atom,Heat Generation
1031,Captain Atom,Energy Manipulation
1032,Captain Atom,Time Travel
1033,Captain Atom,Radiation Immunity
1034,Captain Atom,Energy Resistance
1035,Captain Atom,Time Manipulation
1036,Captain Atom,Invisibility
1037,Captain Atom,Radiation Absorption
1038,Captain Britain,Agility
1039,Captain Britain,Durability
1040,Captain Britain,Stealth
1041,Captain Britain,Flight
1042,Captain Britain,Super Strength
1043,Captain Britain,Stamina
1044,Captain Britain,Super Speed
1045,Captain Britain,Enhanced Senses
1046,Captain Britain,Reflexes
1047,Captain Britain,Force Fields
1048,Captain Cold,Cryokinesis
1049,Captain Cold,Weapon-based Powers
1050,Captain Epic,Super Strength
1051,Captain Epic,Super Speed
1052,Captain Epic,Jump
1053,Captain Hindsight,Flight
1054,Captain Hindsight,Super Speed
1055,Captain Hindsight,Enhanced Senses
1056,Captain Marvel,Agility
1057,Captain Marvel,Accelerated Healing
1058,Captain Marvel,Cold Resistance
1059,Captain Marvel,Durability
1060,Captain Marvel,Energy Absorption
1061,Captain Marvel,Flight
1062,Captain Marvel,Danger Sense
1063,Captain Marvel,Marksmanship
1064,Captain Marvel,Longevity
1065,Captain Marvel,Intelligence
1066,Captain Marvel,Super Strength
1067,Captain Marvel,Energy Blasts
1068,Captain Marvel,Stamina
1069,Captain Marvel,Super Speed
1070,Captain Marvel,Teleportation
1071,Captain Marvel,Magic
1072,Captain Marvel,Clairvoyance
1073,Captain Marvel,Immortality
1074,Captain Marvel,Enhanced Memory
1075,Captain Marvel,Reflexes
1076,Captain Marvel,Invulnerability
1077,Captain Marvel,Energy Constructs
1078,Captain Marvel,Self-Sustenance
1079,Captain Marvel,Precognition
1080,Captain Marvel,Enhanced Hearing
1081,Captain Marvel,Hypnokinesis
1082,Captain Marvel,Levitation
1083,Captain Marvel,Energy Manipulation
1084,Captain Marvel,Heat Resistance
1085,Captain Marvel,Toxin and Disease Resistance
1086,Captain Marvel,Omnilingualism
1087,Captain Marvel,Magic Resistance
1088,Captain Marvel,Super Breath
1089,Captain Marvel II,Intelligence
1090,Captain Marvel II,Super Strength
1091,Captain Marvel II,Clairvoyance
1092,Captain Marvel II,Invulnerability
1093,Captain Marvel II,Hypnokinesis
1094,Captain Marvel II,Omnilingualism
1095,Captain Midnight,Stealth
1096,Captain Midnight,Flight
1097,Captain Midnight,Marksmanship
1098,Captain Midnight,Intelligence
1099,Captain Planet,Flight
1100,Captain Planet,Super Strength
1101,Captain Planet,Cryokinesis
1102,Captain Planet,Telepathy
1103,Captain Planet,Energy Blasts
1104,Captain Planet,Stamina
1105,Captain Planet,Super Speed
1106,Captain Planet,Electrokinesis
1107,Captain Planet,Enhanced Senses
1108,Captain Planet,Telekinesis
1109,Captain Planet,Shapeshifting
1110,Captain Planet,Immortality
1111,Captain Planet,Element Control
1112,Captain Planet,Fire Control
1113,Captain Planet,Invulnerability
1114,Captain Planet,Empathy
1115,Captain Planet,Elemental Transmogrification
1116,Captain Planet,Enhanced Hearing
1117,Captain Planet,Enhanced Sight
1118,Captain Planet,Molecular Manipulation
1119,Captain Planet,Enhanced Smell
1120,Captain Planet,Water Control
1121,Captain Planet,Plant Control
1122,Captain Planet,Sub-Mariner
1123,Captain Planet,Super Breath
1124,Captain Planet,Terrakinesis
1125,Captain Universe,Cold Resistance
1126,Captain Universe,Flight
1127,Captain Universe,Power Augmentation
1128,Captain Universe,Energy Blasts
1129,Captain Universe,Enhanced Senses
1130,Captain Universe,Molecular Manipulation
1131,Captain Universe,Energy Manipulation
1132,Captain Universe,Heat Resistance
1133,Carnage,Agility
1134,Carnage,Accelerated Healing
1135,Carnage,Durability
1136,Carnage,Danger Sense
1137,Carnage,Super Strength
1138,Carnage,Stamina
1139,Carnage,Super Speed
1140,Carnage,Weapon-based Powers
1141,Carnage,Jump
1142,Carnage,Shapeshifting
1143,Carnage,Camouflage
1144,Carnage,Reflexes
1145,Carnage,Natural Weapons
1146,Carnage,Wallcrawling
1147,Carnage,Web Creation
1148,Carnage,Symbiote Costume
1149,Cat,Agility
1150,Cat,Super Strength
1151,Cat,Stamina
1152,Cat,Enhanced Senses
1153,Cat,Jump
1154,Catwoman,Agility
1155,Catwoman,Stealth
1156,Catwoman,Marksmanship
1157,Catwoman,Animal Attributes
1158,Catwoman,Stamina
1159,Catwoman,Dexterity
1160,Catwoman,Peak Human Condition
1161,Catwoman,Empathy
1162,Century,Teleportation
1163,Century,Dimensional Travel
1164,Century,Regeneration
1165,Cerebra,Power Sense
1166,Chamber,Telepathy
1167,Chamber,Energy Beams
1168,Chamber,Psionic Powers
1169,Chamber,Mind Blast
1170,Chameleon,Shapeshifting
1171,Changeling,Telepathy
1172,Changeling,Telekinesis
1173,Changeling,Shapeshifting
1174,Cheetah,Agility
1175,Cheetah,Stealth
1176,Cheetah,Stamina
1177,Cheetah,Animal Oriented Powers
1178,Cheetah,Reflexes
1179,Cheetah II,Agility
1180,Cheetah II,Super Strength
1181,Cheetah II,Stamina
1182,Cheetah II,Super Speed
1183,Cheetah II,Animal Oriented Powers
1184,Cheetah II,Reflexes
1185,Cheetah III,Agility
1186,Cheetah III,Durability
1187,Cheetah III,Stealth
1188,Cheetah III,Animal Attributes
1189,Cheetah III,Intelligence
1190,Cheetah III,Super Strength
1191,Cheetah III,Stamina
1192,Cheetah III,Super Speed
1193,Cheetah III,Animal Oriented Powers
1194,Cheetah III,Enhanced Senses
1195,Cheetah III,Jump
1196,Cheetah III,Shapeshifting
1197,Cheetah III,Reflexes
1198,Cheetah III,Enhanced Hearing
1199,Cheetah III,Animal Control
1200,Cheetah III,Enhanced Sight
1201,Cheetah III,Enhanced Smell
1202,Cheetah III,Vision - Night
1203,Chromos,Agility
1204,Chromos,Super Strength
1205,Chromos,Energy Blasts
1206,Chromos,Stamina
1207,Chromos,Teleportation
1208,Chromos,Energy Beams
1209,Chromos,Fire Control
1210,Chromos,Reflexes
1211,Chromos,Probability Manipulation
1212,Chromos,Heat Resistance
1213,Chromos,Telepathy Resistance
1214,Chromos,Vision - Heat
1215,Chuck Norris,Peak Human Condition
1216,Citizen Steel,Agility
1217,Citizen Steel,Durability
1218,Citizen Steel,Super Strength
1219,Citizen Steel,Super Speed
1220,Citizen Steel,Jump
1221,Citizen Steel,Reflexes
1222,Citizen Steel,Natural Armor
1223,Claire Bennet,Accelerated Healing
1224,Claire Bennet,Regeneration
1225,Cloak,Dimensional Awareness
1226,Cloak,Darkforce Manipulation
1227,Cloak,Teleportation
1228,Cloak,Force Fields
1229,Cloak,Intangibility
1230,Cogliostro,Immortality
1231,Cogliostro,Invulnerability
1232,Colossus,Cold Resistance
1233,Colossus,Durability
1234,Colossus,Super Strength
1235,Colossus,Stamina
1236,Colossus,Super Speed
1237,Colossus,Invulnerability
1238,Colossus,Self-Sustenance
1239,Colossus,Natural Armor
1240,Colossus,Heat Resistance
1241,Copycat,Stealth
1242,Copycat,Weapons Master
1243,Copycat,Shapeshifting
1244,Copycat,Camouflage
1245,Copycat,Power Absorption
1246,Cottonmouth,Super Strength
1247,Crimson Crusader,Flight
1248,Crimson Crusader,Longevity
1249,Crimson Crusader,Force Fields
1250,Crimson Crusader,Gravity Control
1251,Crimson Dynamo,Durability
1252,Crimson Dynamo,Flight
1253,Crimson Dynamo,Super Strength
1254,Crimson Dynamo,Energy Blasts
1255,Crystal,Super Strength
1256,Crystal,Stamina
1257,Crystal,Super Speed
1258,Crystal,Element Control
1259,Crystal,Fire Control
1260,Crystal,Reflexes
1261,Crystal,Water Control
1262,Crystal,Wind Control
1263,Curse,Intelligence
1264,Curse,Energy Blasts
1265,Curse,Magic
1266,Cy-Gor,Animal Attributes
1267,Cy-Gor,Super Strength
1268,Cy-Gor,Stamina
1269,Cy-Gor,Dexterity
1270,Cy-Gor,Super Speed
1271,Cy-Gor,Enhanced Senses
1272,Cy-Gor,Technopath/Cyberpath
1273,Cyborg,Durability
1274,Cyborg,Flight
1275,Cyborg,Super Strength
1276,Cyborg,Stamina
1277,Cyborg,Super Speed
1278,Cyborg,Weapon-based Powers
1279,Cyborg,Enhanced Senses
1280,Cyborg,Technopath/Cyberpath
1281,Cyborg,Enhanced Hearing
1282,Cyborg,Natural Armor
1283,Cyborg,Power Suit
1284,Cyborg,Vision - Thermal
1285,Cyborg Superman,Durability
1286,Cyborg Superman,Energy Absorption
1287,Cyborg Superman,Flight
1288,Cyborg Superman,Super Strength
1289,Cyborg Superman,Stamina
1290,Cyborg Superman,Super Speed
1291,Cyborg Superman,Immortality
1292,Cyborg Superman,Invulnerability
1293,Cyborg Superman,Energy Constructs
1294,Cyborg Superman,Technopath/Cyberpath
1295,Cyborg Superman,Enhanced Hearing
1296,Cyborg Superman,Molecular Manipulation
1297,Cyborg Superman,Energy Manipulation
1298,Cyborg Superman,Vision - Telescopic
1299,Cyborg Superman,Vision - Microscopic
1300,Cyborg Superman,Vision - Night
1301,Cyborg Superman,Vision - Heat
1302,Cyborg Superman,Qwardian Power Ring
1303,Cyborg Superman,Vision - X-Ray
1304,Cyclops,Agility
1305,Cyclops,Energy Absorption
1306,Cyclops,Marksmanship
1307,Cyclops,Intelligence
1308,Cyclops,Energy Blasts
1309,Cyclops,Energy Beams
1310,Cyclops,Energy Resistance
1311,DL Hawkins,Phasing
1312,Dagger,Energy Blasts
1313,Dagger,Light Control
1314,Dagger,Natural Weapons
1315,Daphne Powell,Telepathy
1316,Daredevil,Agility
1317,Daredevil,Stealth
1318,Daredevil,Marksmanship
1319,Daredevil,Weapons Master
1320,Daredevil,Intelligence
1321,Daredevil,Telepathy
1322,Daredevil,Stamina
1323,Daredevil,Enhanced Senses
1324,Daredevil,Reflexes
1325,Daredevil,Enhanced Hearing
1326,Daredevil,Echolocation
1327,Daredevil,Enhanced Smell
1328,Daredevil,Enhanced Touch
1329,Daredevil,Radar Sense
1330,Darkhawk,Durability
1331,Darkhawk,Flight
1332,Darkhawk,Energy Blasts
1333,Darkhawk,Weapon-based Powers
1334,Darkhawk,Force Fields
1335,Darkhawk,Power Suit
1336,Darkhawk,Vision - Telescopic
1337,Darkhawk,Vision - Infrared
1338,Darkman,Durability
1339,Darkman,Intelligence
1340,Darkman,Super Strength
1341,Darkseid,Agility
1342,Darkseid,Accelerated Healing
1343,Darkseid,Dimensional Awareness
1344,Darkseid,Flight
1345,Darkseid,Marksmanship
1346,Darkseid,Intelligence
1347,Darkseid,Super Strength
1348,Darkseid,Telepathy
1349,Darkseid,Energy Blasts
1350,Darkseid,Size Changing
1351,Darkseid,Stamina
1352,Darkseid,Super Speed
1353,Darkseid,Teleportation
1354,Darkseid,Telekinesis
1355,Darkseid,Energy Beams
1356,Darkseid,Dimensional Travel
1357,Darkseid,Immortality
1358,Darkseid,Astral Projection
1359,Darkseid,Reflexes
1360,Darkseid,Invulnerability
1361,Darkseid,Force Fields
1362,Darkseid,Psionic Powers
1363,Darkseid,Mind Control
1364,Darkseid,Molecular Manipulation
1365,Darkseid,Levitation
1366,Darkseid,Energy Manipulation
1367,Darkseid,Toxin and Disease Resistance
1368,Darkseid,Resurrection
1369,Darkstar,Flight
1370,Darkstar,Energy Blasts
1371,Darkstar,Teleportation
1372,Darkstar,Energy Constructs
1373,Darkstar,Energy Manipulation
1374,Darth Maul,Agility
1375,Darth Maul,Durability
1376,Darth Maul,Stealth
1377,Darth Maul,Danger Sense
1378,Darth Maul,Marksmanship
1379,Darth Maul,Weapons Master
1380,Darth Maul,Super Strength
1381,Darth Maul,Telepathy
1382,Darth Maul,Stamina
1383,Darth Maul,Electrokinesis
1384,Darth Maul,Darkforce Manipulation
1385,Darth Maul,Telekinesis
1386,Darth Maul,Illusions
1387,Darth Maul,The Force
1388,Darth Vader,Agility
1389,Darth Vader,Accelerated Healing
1390,Darth Vader,Durability
1391,Darth Vader,Stealth
1392,Darth Vader,Danger Sense
1393,Darth Vader,Marksmanship
1394,Darth Vader,Weapons Master
1395,Darth Vader,Intelligence
1396,Darth Vader,Telepathy
1397,Darth Vader,Energy Blasts
1398,Darth Vader,Super Speed
1399,Darth Vader,Electrokinesis
1400,Darth Vader,Enhanced Senses
1401,Darth Vader,Telekinesis
1402,Darth Vader,Jump
1403,Darth Vader,Astral Projection
1404,Darth Vader,Reflexes
1405,Darth Vader,Force Fields
1406,Darth Vader,Psionic Powers
1407,Darth Vader,Precognition
1408,Darth Vader,Enhanced Hearing
1409,Darth Vader,Hypnokinesis
1410,Darth Vader,Light Control
1411,Darth Vader,Illusions
1412,Darth Vader,Cloaking
1413,Darth Vader,The Force
1414,Dash,Agility
1415,Dash,Stamina
1416,Dash,Super Speed
1417,Dash,Reflexes
1418,Data,Agility
1419,Data,Cold Resistance
1420,Data,Durability
1421,Data,Longevity
1422,Data,Intelligence
1423,Data,Super Strength
1424,Data,Super Speed
1425,Data,Enhanced Senses
1426,Data,Enhanced Memory
1427,Data,Reflexes
1428,Data,Technopath/Cyberpath
1429,Data,Enhanced Hearing
1430,Data,Enhanced Sight
1431,Data,Heat Resistance
1432,Data,Enhanced Smell
1433,Data,Omnilingualism
1434,Dazzler,Agility
1435,Dazzler,Energy Absorption
1436,Dazzler,Marksmanship
1437,Dazzler,Energy Blasts
1438,Dazzler,Stamina
1439,Dazzler,Audio Control
1440,Dazzler,Energy Beams
1441,Dazzler,Energy Constructs
1442,Dazzler,Force Fields
1443,Dazzler,Heat Generation
1444,Dazzler,Light Control
1445,Dazzler,Levitation
1446,Dazzler,Energy Manipulation
1447,Dazzler,Illusions
1448,Dazzler,Resurrection
1449,Deadman,Agility
1450,Deadman,Lantern Power Ring
1451,Deadman,Flight
1452,Deadman,Stamina
1453,Deadman,Possession
1454,Deadman,Teleportation
1455,Deadman,Magic
1456,Deadman,Immortality
1457,Deadman,Phasing
1458,Deadman,Intangibility
1459,Deadman,Levitation
1460,Deadman,Invisibility
1461,Deadpool,Agility
1462,Deadpool,Accelerated Healing
1463,Deadpool,Dimensional Awareness
1464,Deadpool,Stealth
1465,Deadpool,Marksmanship
1466,Deadpool,Weapons Master
1467,Deadpool,Longevity
1468,Deadpool,Stamina
1469,Deadpool,Weapon-based Powers
1470,Deadpool,Teleportation
1471,Deadpool,Immortality
1472,Deadpool,Reflexes
1473,Deadpool,Regeneration
1474,Deadpool,Toxin and Disease Resistance
1475,Deadpool,Telepathy Resistance
1476,Deadpool,Mind Control Resistance
1477,Deadshot,Stealth
1478,Deadshot,Marksmanship
1479,Deadshot,Weapons Master
1480,Deadshot,Stamina
1481,Deathlok,Agility
1482,Deathlok,Durability
1483,Deathlok,Intelligence
1484,Deathlok,Super Strength
1485,Deathlok,Stamina
1486,Deathlok,Super Speed
1487,Deathlok,Enhanced Memory
1488,Deathlok,Reflexes
1489,Deathlok,Vision - Telescopic
1490,Deathlok,Vision - Microscopic
1491,Deathlok,Vision - Infrared
1492,Deathstroke,Agility
1493,Deathstroke,Accelerated Healing
1494,Deathstroke,Durability
1495,Deathstroke,Weapons Master
1496,Deathstroke,Longevity
1497,Deathstroke,Super Strength
1498,Deathstroke,Super Speed
1499,Deathstroke,Weapon-based Powers
1500,Deathstroke,Enhanced Senses
1501,Deathstroke,Reflexes
1502,Deathstroke,Toxin and Disease Resistance
1503,Demogoblin,Agility
1504,Demogoblin,Super Strength
1505,Demogoblin,Telepathy
1506,Demogoblin,Stamina
1507,Demogoblin,Super Speed
1508,Demogoblin,Magic
1509,Demogoblin,Reflexes
1510,Demogoblin,Natural Weapons
1511,Destroyer,Super Strength
1512,Destroyer,Energy Blasts
1513,Destroyer,Size Changing
1514,Destroyer,Molecular Manipulation
1515,Destroyer,Levitation
1516,Diamondback,Marksmanship
1517,Diamondback,Weapons Master
1518,Doc Samson,Durability
1519,Doc Samson,Super Strength
1520,Doc Samson,Stamina
1521,Doctor Doom,Durability
1522,Doctor Doom,Flight
1523,Doctor Doom,Super Strength
1524,Doctor Doom,Energy Blasts
1525,Doctor Doom,Stamina
1526,Doctor Doom,Astral Travel
1527,Doctor Doom,Super Speed
1528,Doctor Doom,Weapon-based Powers
1529,Doctor Doom,Electrokinesis
1530,Doctor Doom,Teleportation
1531,Doctor Doom,Magic
1532,Doctor Doom,Dimensional Travel
1533,Doctor Doom,Summoning
1534,Doctor Doom,Force Fields
1535,Doctor Doom,Time Travel
1536,Doctor Doom II,Flight
1537,Doctor Doom II,Super Strength
1538,Doctor Doom II,Energy Blasts
1539,Doctor Doom II,Force Fields
1540,Doctor Doom II,Psionic Powers
1541,Doctor Fate,Accelerated Healing
1542,Doctor Fate,Dimensional Awareness
1543,Doctor Fate,Flight
1544,Doctor Fate,Longevity
1545,Doctor Fate,Super Strength
1546,Doctor Fate,Telepathy
1547,Doctor Fate,Energy Blasts
1548,Doctor Fate,Super Speed
1549,Doctor Fate,Teleportation
1550,Doctor Fate,Telekinesis
1551,Doctor Fate,Dimensional Travel
1552,Doctor Fate,Phasing
1553,Doctor Fate,Astral Projection
1554,Doctor Fate,Energy Constructs
1555,Doctor Fate,Mind Control
1556,Doctor Fate,Molecular Manipulation
1557,Doctor Fate,Illusions
1558,Doctor Fate,Energy Resistance
1559,Doctor Fate,Magnetism
1560,Doctor Fate,Time Manipulation
1561,Doctor Fate,Invisibility
1562,Doctor Fate,Resurrection
1563,Doctor Octopus,Agility
1564,Doctor Octopus,Marksmanship
1565,Doctor Octopus,Intelligence
1566,Doctor Octopus,Super Strength
1567,Doctor Octopus,Stamina
1568,Doctor Octopus,Super Speed
1569,Doctor Octopus,Weapon-based Powers
1570,Doctor Octopus,Technopath/Cyberpath
1571,Doctor Octopus,Power Suit
1572,Doctor Octopus,Wallcrawling
1573,Doctor Strange,Dimensional Awareness
1574,Doctor Strange,Flight
1575,Doctor Strange,Longevity
1576,Doctor Strange,Telepathy
1577,Doctor Strange,Energy Blasts
1578,Doctor Strange,Teleportation
1579,Doctor Strange,Telekinesis
1580,Doctor Strange,Magic
1581,Doctor Strange,Dimensional Travel
1582,Doctor Strange,Phasing
1583,Doctor Strange,Astral Projection
1584,Doctor Strange,Summoning
1585,Doctor Strange,Force Fields
1586,Doctor Strange,Hypnokinesis
1587,Doctor Strange,Intangibility
1588,Doctor Strange,Banish
1589,Doctor Strange,Time Travel
1590,Doctor Strange,Illusions
1591,Doctor Strange,Time Manipulation
1592,Doctor Strange,Invisibility
1593,Domino,Agility
1594,Domino,Marksmanship
1595,Domino,Reflexes
1596,Domino,Probability Manipulation
1597,Donatello,Agility
1598,Donatello,Accelerated Healing
1599,Donatello,Stealth
1600,Donatello,Marksmanship
1601,Donatello,Weapons Master
1602,Donatello,Stamina
1603,Donatello,Jump
1604,Donatello,Natural Armor
1605,Donatello,Sub-Mariner
1606,Donna Troy,Flight
1607,Donna Troy,Super Strength
1608,Donna Troy,Super Speed
1609,Doomsday,Agility
1610,Doomsday,Accelerated Healing
1611,Doomsday,Cold Resistance
1612,Doomsday,Durability
1613,Doomsday,Energy Absorption
1614,Doomsday,Super Strength
1615,Doomsday,Stamina
1616,Doomsday,Super Speed
1617,Doomsday,Jump
1618,Doomsday,Reflexes
1619,Doomsday,Invulnerability
1620,Doomsday,Self-Sustenance
1621,Doomsday,Power Absorption
1622,Doomsday,Natural Armor
1623,Doomsday,Adaptation
1624,Doomsday,Regeneration
1625,Doomsday,Heat Resistance
1626,Doomsday,Natural Weapons
1627,Doomsday,Energy Resistance
1628,Doomsday,Resurrection
1629,Doppelganger,Agility
1630,Doppelganger,Accelerated Healing
1631,Doppelganger,Super Strength
1632,Doppelganger,Stamina
1633,Doppelganger,Super Speed
1634,Doppelganger,Shapeshifting
1635,Doppelganger,Reflexes
1636,Doppelganger,Natural Weapons
1637,Doppelganger,Wallcrawling
1638,Dormammu,Power Augmentation
1639,Dormammu,Super Strength
1640,Dormammu,Telepathy
1641,Dormammu,Size Changing
1642,Dormammu,Stamina
1643,Dormammu,Super Speed
1644,Dormammu,Darkforce Manipulation
1645,Dormammu,Teleportation
1646,Dormammu,Magic
1647,Dormammu,Dimensional Travel
1648,Dormammu,Shapeshifting
1649,Dormammu,Immortality
1650,Dormammu,Molecular Manipulation
1651,Dr Manhattan,Accelerated Healing
1652,Dr Manhattan,Durability
1653,Dr Manhattan,Energy Absorption
1654,Dr Manhattan,Flight
1655,Dr Manhattan,Longevity
1656,Dr Manhattan,Intelligence
1657,Dr Manhattan,Super Strength
1658,Dr Manhattan,Energy Blasts
1659,Dr Manhattan,Duplication
1660,Dr Manhattan,Size Changing
1661,Dr Manhattan,Density Control
1662,Dr Manhattan,Super Speed
1663,Dr Manhattan,Teleportation
1664,Dr Manhattan,Telekinesis
1665,Dr Manhattan,Immortality
1666,Dr Manhattan,Phasing
1667,Dr Manhattan,Invulnerability
1668,Dr Manhattan,Energy Constructs
1669,Dr Manhattan,Force Fields
1670,Dr Manhattan,Self-Sustenance
1671,Dr Manhattan,Precognition
1672,Dr Manhattan,Intangibility
1673,Dr Manhattan,Molecular Manipulation
1674,Dr Manhattan,Energy Manipulation
1675,Dr Manhattan,Time Travel
1676,Dr Manhattan,Omnilingualism
1677,Dr Manhattan,Time Manipulation
1678,Dr Manhattan,Matter Absorption
1679,Dr Manhattan,Molecular Dissipation
1680,Drax the Destroyer,Agility
1681,Drax the Destroyer,Accelerated Healing
1682,Drax the Destroyer,Cold Resistance
1683,Drax the Destroyer,Durability
1684,Drax the Destroyer,Weapons Master
1685,Drax the Destroyer,Super Strength
1686,Drax the Destroyer,Stamina
1687,Drax the Destroyer,Enhanced Senses
1688,Drax the Destroyer,Self-Sustenance
1689,Drax the Destroyer,Heat Resistance
1690,Drax the Destroyer,Enhanced Smell
1691,Ego,Energy Absorption
1692,Ego,Super Strength
1693,Ego,Super Speed
1694,Elastigirl,Agility
1695,Elastigirl,Durability
1696,Elastigirl,Super Strength
1697,Elastigirl,Size Changing
1698,Elastigirl,Shapeshifting
1699,Elastigirl,Invulnerability
1700,Elastigirl,Elasticity
1701,Electro,Super Speed
1702,Electro,Electrokinesis
1703,Electro,Electrical Transport
1704,Elektra,Agility
1705,Elektra,Stealth
1706,Elektra,Danger Sense
1707,Elektra,Marksmanship
1708,Elektra,Weapons Master
1709,Elektra,Intelligence
1710,Elektra,Telepathy
1711,Elektra,Peak Human Condition
1712,Elektra,Hypnokinesis
1713,Elektra,Telepathy Resistance
1714,Elle Bishop,Electrokinesis
1715,Elongated Man,Agility
1716,Elongated Man,Durability
1717,Elongated Man,Size Changing
1718,Elongated Man,Shapeshifting
1719,Elongated Man,Elasticity
1720,Emma Frost,Durability
1721,Emma Frost,Super Strength
1722,Emma Frost,Telepathy
1723,Emma Frost,Density Control
1724,Emma Frost,Stamina
1725,Emma Frost,Possession
1726,Emma Frost,Camouflage
1727,Emma Frost,Astral Projection
1728,Emma Frost,Psionic Powers
1729,Emma Frost,Mind Control
1730,Emma Frost,Natural Armor
1731,Emma Frost,Illusions
1732,Emma Frost,Telepathy Resistance
1733,Emma Frost,Mind Control Resistance
1734,Enchantress,Accelerated Healing
1735,Enchantress,Durability
1736,Enchantress,Flight
1737,Enchantress,Super Strength
1738,Enchantress,Teleportation
1739,Enchantress,Enhanced Senses
1740,Enchantress,Magic
1741,Enchantress,Element Control
1742,Enchantress,Phasing
1743,Enchantress,Fire Control
1744,Enchantress,Reflexes
1745,Enchantress,Energy Constructs
1746,Enchantress,Intangibility
1747,Enchantress,Illusions
1748,Energy,Flight
1749,Energy,Electrokinesis
1750,Energy,Energy Manipulation
1751,Ethan Hunt,Agility
1752,Ethan Hunt,Durability
1753,Ethan Hunt,Stealth
1754,Ethan Hunt,Marksmanship
1755,Ethan Hunt,Weapons Master
1756,Ethan Hunt,Intelligence
1757,Ethan Hunt,Stamina
1758,Ethan Hunt,Reflexes
1759,Etrigan,Accelerated Healing
1760,Etrigan,Durability
1761,Etrigan,Super Strength
1762,Etrigan,Energy Blasts
1763,Etrigan,Enhanced Senses
1764,Etrigan,Magic
1765,Etrigan,Jump
1766,Etrigan,Immortality
1767,Etrigan,Precognition
1768,Etrigan,Natural Weapons
1769,Evil Deadpool,Agility
1770,Evil Deadpool,Accelerated Healing
1771,Evil Deadpool,Dimensional Awareness
1772,Evil Deadpool,Stealth
1773,Evil Deadpool,Marksmanship
1774,Evil Deadpool,Weapons Master
1775,Evil Deadpool,Longevity
1776,Evil Deadpool,Stamina
1777,Evil Deadpool,Weapon-based Powers
1778,Evil Deadpool,Teleportation
1779,Evil Deadpool,Immortality
1780,Evil Deadpool,Reflexes
1781,Evil Deadpool,Regeneration
1782,Evil Deadpool,Toxin and Disease Resistance
1783,Evil Deadpool,Telepathy Resistance
1784,Evil Deadpool,Mind Control Resistance
1785,Evilhawk,Accelerated Healing
1786,Evilhawk,Durability
1787,Evilhawk,Flight
1788,Evilhawk,Super Strength
1789,Evilhawk,Energy Blasts
1790,Evilhawk,Weapon-based Powers
1791,Evilhawk,Force Fields
1792,Evilhawk,Power Suit
1793,Evilhawk,Vision - Telescopic
1794,Evilhawk,Vision - Infrared
1795,Exodus,Accelerated Healing
1796,Exodus,Flight
1797,Exodus,Telepathy
1798,Exodus,Energy Blasts
1799,Exodus,Teleportation
1800,Exodus,Telekinesis
